id,brand,date,time_utc,platform,topic,media,status,blotato_submission_id
li-jul01,seniorease,2026-07-01,07:00,linkedin,Privacy wedge,text-only,scheduled,5d767cb1-a238-406f-9fa6-29539f2d85a6
li-jul02,seniorease,2026-07-02,07:00,linkedin,Record fair dad story,video,scheduled,eddfa621-5de0-4bd5-98a7-955c763832dc
li-jul03,seniorease,2026-07-03,07:00,linkedin,Mom caregiver,video,scheduled,e7b6c341-bb45-4b96-81d4-ba69ca0bce82
li-jul04,seniorease,2026-07-04,07:00,linkedin,5-second rule,text-only,scheduled,0dad525f-79fc-4c6b-a4d8-a9b2bb3a6723
li-jul07,seniorease,2026-07-07,07:00,linkedin,3 apps vs 1,text-only,scheduled,4d9a23f5-087f-4472-aea2-dd7dd23d2690
li-jul08,seniorease,2026-07-08,07:00,linkedin,Scanner v1.4.3 fix,image,scheduled,feb518f5-7406-43a3-9d05-50e0d4effa3d
